"Weight" "Colour" "Price"
0.56 "I" 2892
0.66 "H" 4300
0.7 "H" 5122
0.7 "I" 3861
0.71 "H" 5193
0.8 "I" 5441
0.82 "I" 4948
0.84 "H" 5705
0.86 "H" 6882
0.89 "H" 6709
0.9 "I" 6682
0.55 "H" 3605
0.57 "H" 3415
0.6 "H" 4291
0.7 "H" 5122
0.71 "H" 5193
0.72 "H" 5662
0.73 "H" 5030
0.73 "H" 5030
0.73 "I" 4727
0.73 "I" 4221
0.74 "H" 4585
0.75 "I" 4667
0.75 "I" 4355
0.78 "H" 5386
0.8 "I" 4832
1 "H" 8788
1 "I" 8095
1 "I" 7818
1.01 "H" 9153
1.01 "H" 8873
1.01 "I" 8873
1.01 "I" 8455
1.01 "I" 7895
1.04 "I" 9563
1.05 "I" 8781
1.06 "H" 9302
1.07 "I" 8945
1.1 "H" 9646
0.52 "I" 3095
1 "H" 9342
1.01 "H" 8873
1.01 "I" 8175
0.52 "H" 3130
0.57 "H" 3415
0.58 "H" 3792
0.6 "H" 3925
0.61 "H" 3616
0.62 "I" 3615
0.64 "H" 3785
0.65 "I" 3643
0.66 "H" 4300
0.7 "H" 4346
0.71 "H" 5193
0.72 "H" 5662
0.74 "H" 5815
0.8 "H" 6416
0.8 "H" 6051
0.81 "H" 7358
0.86 "H" 5835
1 "H" 9480
1 "H" 9065
1 "H" 8788
1 "I" 8788
1 "I" 8372
1 "I" 8095
1 "I" 7818
1.01 "H" 9433
1.01 "H" 9153
1.01 "I" 8873
1.01 "I" 8175
1.06 "H" 9890
1.02 "H" 8959
1.09 "I" 9107
