"Spiciness" "Type"
2896 "Anaheim"
1268 "Anaheim"
1600 "Anaheim"
3383 "Anaheim"
3375 "Anaheim"
2584 "Anaheim"
2626 "Anaheim"
678 "Anaheim"
2208 "Anaheim"
1847 "Anaheim"
8081 "Chipotle"
9546 "Chipotle"
7964 "Chipotle"
8721 "Chipotle"
9386 "Chipotle"
8425 "Chipotle"
6698 "Chipotle"
8118 "Chipotle"
8737 "Chipotle"
10032 "Jalapeno"
10411 "Jalapeno"
12033 "Jalapeno"
10818 "Jalapeno"
8590 "Jalapeno"
10471 "Jalapeno"
10690 "Jalapeno"
7960 "Jalapeno"
7176 "Jalapeno"
7272 "Jalapeno"
11746 "Jalapeno"
9327 "Jalapeno"
20363 "Serrano"
22597 "Serrano"
25816 "Serrano"
24752 "Serrano"
28989 "Serrano"
23865 "Serrano"
17019 "Serrano"
23500 "Serrano"
18848 "Serrano"
23882 "Serrano"
21248 "Serrano"
28915 "Serrano"
20775 "Serrano"
